Password,Username,First Name,Email,Last Name
Peter,Peter,Peter,peter-admin@gmail.com,Admin
John,John,John,john-admin@gmail.com,Admin
Thomas,Thomas,Thomas,thomas-admin@gmail.com,Admin
Samuel,Samuel,Samuel,samuel-admin@gmail.com,Admin
James,James,James,james-employee@gmail.com,Employee
Monicka,Monicka,Monicka,monicka-employee@gmail.com,Employee
Steve,Steve,Steve,steve-employee@gmail.com,Employee
Andrew,Andrew,Andrew,andrew-employee@gmail.com,Employee
Tom,Tom,Tom,tom-employee@gmail.com,Employee
Bright,Bright,Bright,bright-manager@gmail.com,Manager
Jose,Jose,Jose,jose-manager@gmail.com,Manager
Jesse,Jesse,Jesse,jesse-manager@gmail.com,Manager
Antony,Antony,Antony,antony-manager@gmail.com,Manager
